date,sentiment,preds,negative,neutral,positive
2013-09-27,1.0,0.8452224731445312,0.0,0.0,1.0
2013-11-27,0.0,0.0,0.0,1.0,0.0
2014-05-14,0.0,0.0,0.0,1.0,0.0
2014-09-18,0.0,0.0,0.0,1.0,0.0
2014-09-25,0.0,0.0,0.0,1.0,0.0
2014-09-27,0.0,0.0,0.0,1.0,0.0
2014-10-14,0.0,0.0,0.0,1.0,0.0
2015-03-23,0.0,0.0,0.0,1.0,0.0
2015-05-18,0.0,0.0,0.0,1.0,0.0
2015-07-09,0.0,0.0,0.0,1.0,0.0
2015-08-07,0.0,0.0,0.0,1.0,0.0
2015-08-14,0.0,0.0,0.0,1.0,0.0
2015-08-24,0.0,0.0,0.0,1.0,0.0
2015-10-12,-0.5,-0.4714592397212982,0.5,0.5,0.0
2015-10-14,0.0,0.0,0.0,1.0,0.0
2015-10-19,0.0,0.0,0.0,1.0,0.0
2015-10-31,0.0,0.0,0.0,1.0,0.0
2015-11-12,0.0,0.0,0.0,1.0,0.0
2015-11-27,0.0,0.0,0.0,1.0,0.0
2015-11-30,0.0,0.0,0.0,1.0,0.0
2015-12-08,0.0,0.0,0.0,1.0,0.0
2015-12-11,0.0,0.0,0.0,1.0,0.0
2015-12-15,0.0,0.0,0.0,1.0,0.0
2015-12-18,-0.5,-0.4719847738742828,0.5,0.5,0.0
2015-12-19,0.0,0.0,0.0,1.0,0.0
2015-12-20,1.0,0.9456921219825744,0.0,0.0,1.0
2015-12-30,-0.3333333333333333,-0.31465651591618854,0.3333333333333333,0.6666666666666666,0.0
2016-01-05,-1.0,-0.7532830238342285,1.0,0.0,0.0
2016-03-08,-1.0,-0.9229843616485596,1.0,0.0,0.0
2016-03-11,0.0,0.0,0.0,1.0,0.0
2016-03-17,0.3333333333333333,0.32666949431101483,0.3333333333333333,0.0,0.6666666666666666
2016-03-21,1.0,0.9683789312839508,0.0,0.0,1.0
2016-03-23,0.0,0.0,0.0,1.0,0.0
2016-03-24,0.0,0.0,0.0,1.0,0.0
2016-04-13,0.0,0.0,0.0,1.0,0.0
2016-04-14,0.0,0.0,0.0,1.0,0.0
2016-04-15,0.0,0.0,0.0,1.0,0.0
2016-04-19,0.0,0.0,0.0,1.0,0.0
2016-04-24,0.0,0.0,0.0,1.0,0.0
2016-05-05,0.0,0.0,0.0,1.0,0.0
2016-05-10,0.0,0.0,0.0,1.0,0.0
2016-05-24,0.0,0.0,0.0,1.0,0.0
2016-06-01,0.0,0.0,0.0,1.0,0.0
2016-06-07,0.0,0.0,0.0,1.0,0.0
2016-06-27,0.0,0.0,0.0,1.0,0.0
2016-07-06,1.0,0.9651223421096802,0.0,0.0,1.0
2016-07-11,0.0,0.0,0.0,1.0,0.0
2016-07-12,1.0,0.9542618989944458,0.0,0.0,1.0
2016-07-14,0.0,0.0,0.0,1.0,0.0
2016-07-21,0.0,0.0,0.0,1.0,0.0
2016-07-26,0.0,0.0,0.0,1.0,0.0
2016-07-27,1.0,0.8266836404800415,0.0,0.0,1.0
2016-08-10,0.0,0.0,0.0,1.0,0.0
2016-08-18,0.0,0.0,0.0,1.0,0.0
2016-08-25,0.0,0.0,0.0,1.0,0.0
2016-08-30,0.0,0.0,0.0,1.0,0.0
2016-09-02,0.0,0.0,0.0,1.0,0.0
2016-09-15,0.0,0.0,0.0,1.0,0.0
2016-09-19,0.0,0.0,0.0,1.0,0.0
2016-09-23,0.0,0.0,0.0,1.0,0.0
2016-09-29,1.0,0.959330141544342,0.0,0.0,1.0
2016-10-18,0.0,0.0,0.0,1.0,0.0
2016-10-31,0.0,0.0,0.0,1.0,0.0
2016-11-07,0.0,0.0,0.0,1.0,0.0
2016-11-10,0.0,0.0,0.0,1.0,0.0
2016-11-17,0.0,0.0,0.0,1.0,0.0
2016-11-21,0.0,0.0,0.0,1.0,0.0
2016-11-30,0.0,0.0,0.0,1.0,0.0
2016-12-01,0.5,0.4613386690616608,0.0,0.5,0.5
2016-12-06,0.0,0.0,0.0,1.0,0.0
2016-12-07,0.0,0.0,0.0,1.0,0.0
2016-12-08,0.5,0.4821171462535858,0.0,0.5,0.5
2016-12-09,0.0,0.0,0.0,1.0,0.0
2016-12-12,0.0,0.0,0.0,1.0,0.0
2016-12-14,0.5,0.4824388921260834,0.0,0.5,0.5
2016-12-19,0.0,0.0,0.0,1.0,0.0
2016-12-20,0.0,0.0,0.0,1.0,0.0
2016-12-21,0.0,0.0,0.0,1.0,0.0
2016-12-22,1.0,0.9660552144050598,0.0,0.0,1.0
2016-12-28,0.0,0.0,0.0,1.0,0.0
2016-12-29,0.0,0.0,0.0,1.0,0.0
2017-01-05,0.0,0.0,0.0,1.0,0.0
2017-01-06,0.0,0.0,0.0,1.0,0.0
2017-01-09,0.0,0.0,0.0,1.0,0.0
2017-01-10,1.0,0.9206866621971129,0.0,0.0,1.0
2017-01-11,0.0,0.0,0.0,1.0,0.0
2017-01-12,0.0,0.0,0.0,1.0,0.0
2017-01-17,-0.5,-0.4583229422569275,0.5,0.5,0.0
2017-01-23,0.0,0.0,0.0,1.0,0.0
2017-01-24,1.0,0.9367270469665528,0.0,0.0,1.0
2017-01-26,0.0,0.0,0.0,1.0,0.0
2017-01-27,0.0,0.0,0.0,1.0,0.0
2017-01-30,0.0,0.0,0.0,1.0,0.0
2017-02-01,0.0,0.0,0.0,1.0,0.0
